id,sequence,method
molecule_11,c1(N)cccc(CSc2ccc(C3OC4CC5C(CC(O)C6C5CCC5=CC(=O)C=CC56C)C4(C(=O)CO)O3)cc2)c1,rand_9
molecule_11,c1c(C2OC3(C(=O)CO)C(CC4C3CC(O)C3C5(C)C(=CC(=O)C=C5)CCC43)O2)ccc(SCc2cccc(N)c2)c1,rand_10
molecule_12,c12c(cccc1C)c(O)cc1c2[C@H](CCl)CN1C(c1nc2ccc(NC(=O)c3ccc(O)cc3)cn2c1)=O,rand_1
molecule_12,c12c(c3c(C)cccc3c(O)c1)[C@H](CCl)CN2C(c1nc2n(cc(NC(=O)c3ccc(O)cc3)cc2)c1)=O,rand_2
molecule_12,c1ccc(C)c2c3c(cc(O)c12)N(C(c1cn2c(ccc(NC(c4ccc(O)cc4)=O)c2)n1)=O)C[C@H]3CCl,rand_3
molecule_12,c1c(C(=O)N2C[C@@H](CCl)c3c4c(c(O)cc32)cccc4C)nc2ccc(NC(=O)c3ccc(O)cc3)cn12,rand_4
molecule_12,c12cccc(C)c1c1c(cc2O)N(C(=O)c2nc3n(cc(NC(c4ccc(O)cc4)=O)cc3)c2)C[C@H]1CCl,rand_5
molecule_12,c1(C(=O)Nc2cn3cc(C(N4C[C@@H](CCl)c5c6c(c(O)cc54)cccc6C)=O)nc3cc2)ccc(O)cc1,rand_6
molecule_12,c12c(c3c(C)cccc3c(O)c1)[C@H](CCl)CN2C(=O)c1cn2c(n1)ccc(NC(=O)c1ccc(O)cc1)c2,rand_7
molecule_12,c1(O)ccc(C(=O)Nc2ccc3nc(C(=O)N4c5c(c6c(C)cccc6c(O)c5)[C@H](CCl)C4)cn3c2)cc1,rand_8
molecule_12,c1c(NC(=O)c2ccc(O)cc2)ccc2n1cc(C(N1c3cc(O)c4cccc(C)c4c3[C@H](CCl)C1)=O)n2,rand_9
molecule_12,n1c2n(cc(NC(=O)c3ccc(O)cc3)cc2)cc1C(N1C[C@@H](CCl)c2c3c(c(O)cc21)cccc3C)=O,rand_10
molecule_13,c1cc(C2OC3(C(COP(O)(O)=O)=O)C(O2)CC2C4C(C5(C)C=CC(=O)C=C5CC4)C(O)CC23C)ccc1Cc1cccc(N)c1,rand_1
molecule_13,c1cc(Cc2cc(N)ccc2)ccc1C1OC2(C(=O)COP(O)(=O)O)C(O1)CC1C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C,rand_2
molecule_13,O=P(OCC(C12OC(c3ccc(Cc4cc(N)ccc4)cc3)OC1CC1C2(C)CC(O)C2C3(C)C(=CC(=O)C=C3)CCC21)=O)(O)O,rand_3
molecule_13,Nc1cc(Cc2ccc(C3OC4CC5C(C)(C4(C(=O)COP(O)(O)=O)O3)CC(O)C3C5CCC4=CC(=O)C=CC43C)cc2)ccc1,rand_4
molecule_13,c1ccc(N)cc1Cc1ccc(C2OC3C(C(COP(O)(O)=O)=O)(C4(C)C(C5C(C6(C)C=CC(=O)C=C6CC5)C(O)C4)C3)O2)cc1,rand_5
molecule_13,OP(O)(=O)OCC(=O)C12OC(c3ccc(Cc4cccc(N)c4)cc3)OC1CC1C2(C)CC(O)C2C3(C)C(=CC(=O)C=C3)CCC12,rand_6
molecule_13,OC1C2C3(C)C=CC(=O)C=C3CCC2C2C(C)(C3(C(COP(=O)(O)O)=O)OC(c4ccc(Cc5cc(N)ccc5)cc4)OC3C2)C1,rand_7
molecule_13,C(C(C12OC(c3ccc(Cc4cc(N)ccc4)cc3)OC1CC1C2(C)CC(O)C2C3(C)C(=CC(=O)C=C3)CCC12)=O)OP(O)(O)=O,rand_8
molecule_13,O1C(c2ccc(Cc3cc(N)ccc3)cc2)OC2(C(=O)COP(=O)(O)O)C3(C)CC(O)C4C(C3CC12)CCC1=CC(=O)C=CC14C,rand_9
molecule_13,c1c(N)cc(Cc2ccc(C3OC4CC5C6C(C(O)CC5(C)C4(C(COP(O)(=O)O)=O)O3)C3(C)C(=CC(=O)C=C3)CC6)cc2)cc1,rand_10
molecule_14,N12C=C(C)C[C@H]1C=Nc1c(cc(OC)c(OCCCCCOc3cc4c(cc3OC)C(=O)N3C=C(C)C[C@H]3C=N4)c1)C2=O,rand_1
molecule_14,c1c2c(cc(OCCCCCOc3cc4c(cc3OC)C(=O)N3C=C(C)C[C@H]3C=N4)c1OC)N=C[C@H]1N(C2=O)C=C(C)C1,rand_2
molecule_14,c1c(OCCCCCOc2cc3c(cc2OC)C(=O)N2[C@H](C=N3)CC(C)=C2)c(OC)cc2c1N=C[C@@H]1CC(C)=CN1C2=O,rand_3
molecule_14,N1=C[C@@H]2CC(C)=CN2C(=O)c2cc(OC)c(OCCCCCOc3c(OC)cc4c(c3)N=C[C@H]3N(C4=O)C=C(C)C3)cc21,rand_4
molecule_14,c12c(cc(OCCCCCOc3c(OC)cc4c(c3)N=C[C@H]3N(C=C(C)C3)C4=O)c(OC)c1)N=C[C@H]1N(C=C(C)C1)C2=O,rand_5
molecule_14,O(C)c1cc2c(cc1OCCCCCOc1c(OC)cc3c(c1)N=C[C@H]1N(C=C(C)C1)C3=O)N=C[C@H]1N(C=C(C)C1)C2=O,rand_6
molecule_14,C(CCCOc1cc2c(cc1OC)C(=O)N1C=C(C)C[C@H]1C=N2)COc1cc2c(cc1OC)C(=O)N1C=C(C)C[C@H]1C=N2,rand_7
molecule_14,C1(=O)c2c(cc(OCCCCCOc3c(OC)cc4c(c3)N=C[C@@H]3CC(C)=CN3C4=O)c(OC)c2)N=C[C@H]2N1C=C(C)C2,rand_8
molecule_14,c1(OC)c(OCCCCCOc2cc3c(cc2OC)C(=O)N2[C@H](C=N3)CC(C)=C2)cc2c(c1)C(=O)N1C=C(C)C[C@H]1C=N2,rand_9
molecule_14,N1=C[C@H]2N(C(=O)c3cc(OC)c(OCCCCCOc4c(OC)cc5c(c4)N=C[C@H]4N(C=C(C)C4)C5=O)cc31)C=C(C)C2,rand_10
molecule_15,c1c2n(c(=O)c3c1C(O)(CC)C(=O)OC3)Cc1c-2nc2ccc(O)cc2c1CC,rand_1
molecule_15,C(C)c1c2c(nc3c1cc(O)cc3)-c1cc3c(c(=O)n1C2)COC(=O)C3(CC)O,rand_2
molecule_15,O=c1c2c(cc3n1Cc1c(CC)c4c(ccc(O)c4)nc1-3)C(O)(CC)C(=O)OC2,rand_3
molecule_15,c1c2c(ccc1O)nc1c(c2CC)Cn2c(=O)c3c(cc2-1)C(CC)(O)C(=O)OC3,rand_4
molecule_15,c1c2c(CC)c3c(nc2ccc1O)-c1n(c(=O)c2c(c1)C(O)(CC)C(=O)OC2)C3,rand_5
molecule_15,CCc1c2c(ccc(O)c2)nc2c1Cn1c(=O)c3c(cc1-2)C(CC)(O)C(=O)OC3,rand_6
molecule_15,c1(CC)c2cc(O)ccc2nc2c1Cn1c(=O)c3c(cc1-2)C(CC)(O)C(=O)OC3,rand_7
molecule_15,O=C1C(CC)(O)c2cc3n(c(=O)c2CO1)Cc1c-3nc2ccc(O)cc2c1CC,rand_8
molecule_15,n1c2c(c(CC)c3c1ccc(O)c3)Cn1c-2cc2c(c1=O)COC(=O)C2(CC)O,rand_9
molecule_15,c1c2n(c(=O)c3c1C(O)(CC)C(=O)OC3)Cc1c(CC)c3c(ccc(O)c3)nc1-2,rand_10
molecule_16,[C@H]1(NC([C@@H](N)Cc2ccc(OC)cc2)=O)[C@@H](O)[C@H](n2cnc3c(N(C)C)ncnc23)O[C@@H]1CO,rand_1
molecule_16,[C@@H]1(O)[C@H](NC(=O)[C@H](Cc2ccc(OC)cc2)N)[C@@H](CO)O[C@H]1n1cnc2c(N(C)C)ncnc12,rand_2
molecule_16,n1cnc2n([C@H]3[C@H](O)[C@H](NC([C@H](Cc4ccc(OC)cc4)N)=O)[C@@H](CO)O3)cnc2c1N(C)C,rand_3
molecule_16,O1[C@H](CO)[C@@H](NC(=O)[C@@H](N)Cc2ccc(OC)cc2)[C@@H](O)[C@@H]1n1cnc2c(N(C)C)ncnc12,rand_4
molecule_16,O(C)c1ccc(C[C@@H](C(=O)N[C@H]2[C@@H](O)[C@H](n3cnc4c(N(C)C)ncnc34)O[C@@H]2CO)N)cc1,rand_5
molecule_16,c12ncnc(N(C)C)c1ncn2[C@@H]1O[C@H](CO)[C@@H](NC(=O)[C@@H](N)Cc2ccc(OC)cc2)[C@H]1O,rand_6
molecule_16,CN(C)c1c2ncn([C@H]3[C@H](O)[C@H](NC(=O)[C@@H](N)Cc4ccc(OC)cc4)[C@@H](CO)O3)c2ncn1,rand_7
molecule_16,c12ncnc(N(C)C)c1ncn2[C@H]1[C@H](O)[C@H](NC([C@@H](N)Cc2ccc(OC)cc2)=O)[C@@H](CO)O1,rand_8
molecule_16,c1cc(OC)ccc1C[C@@H](C(N[C@H]1[C@@H](O)[C@H](n2c3ncnc(N(C)C)c3nc2)O[C@@H]1CO)=O)N,rand_9
molecule_16,[C@H](Cc1ccc(OC)cc1)(C(=O)N[C@H]1[C@@H](O)[C@H](n2c3ncnc(N(C)C)c3nc2)O[C@@H]1CO)N,rand_10
molecule_17,C(O)C(=O)[C@]1(O)Cc2c(c(O)c3c(c2O)C(=O)c2cccc(OC)c2C3=O)[C@@H](O[C@H]2C[C@H](N3C[C@@H](OC)OCC3)[C@H](O)[C@H](C)O2)C1,rand_1
molecule_17,C1(=O)c2c(OC)cccc2C(=O)c2c(O)c3c(c(O)c21)[C@@H](O[C@H]1C[C@H](N2C[C@@H](OC)OCC2)[C@H](O)[C@H](C)O1)C[C@](O)(C(=O)CO)C3,rand_2
molecule_17,O([C@H]1OCCN([C@H]2C[C@H](O[C@H]3C[C@](O)(C(=O)CO)Cc4c3c(O)c3c(c4O)C(=O)c4cccc(OC)c4C3=O)O[C@@H](C)[C@H]2O)C1)C,rand_3
molecule_17,C([C@]1(O)Cc2c(c(O)c3c(c2O)C(=O)c2c(c(OC)ccc2)C3=O)[C@@H](O[C@H]2C[C@H](N3CCO[C@H](OC)C3)[C@H](O)[C@H](C)O2)C1)(=O)CO,rand_4
molecule_17,c1c2c(c(OC)cc1)C(=O)c1c(c(O)c3c(c1O)[C@@H](O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](N4C[C@@H](OC)OCC4)C1)C[C@@](C(=O)CO)(O)C3)C2=O,rand_5
molecule_17,O[C@H]1[C@@H](N2CCO[C@H](OC)C2)C[C@H](O[C@@H]2c3c(O)c4c(c(O)c3C[C@@](O)(C(CO)=O)C2)C(=O)c2cccc(OC)c2C4=O)O[C@H]1C,rand_6
molecule_17,c12c(c(O)c3c(c1O)C(=O)c1c(cccc1OC)C3=O)C[C@](C(CO)=O)(O)C[C@@H]2O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](N2CCO[C@H](OC)C2)C1,rand_7
molecule_17,O1CCN([C@H]2C[C@H](O[C@H]3C[C@@](C(=O)CO)(O)Cc4c(O)c5c(c(O)c43)C(=O)c3c(OC)cccc3C5=O)O[C@@H](C)[C@H]2O)C[C@H]1OC,rand_8
molecule_17,O=C1c2c(c(OC)ccc2)C(=O)c2c(O)c3c(c(O)c21)C[C@@](O)(C(CO)=O)C[C@@H]3O[C@H]1C[C@H](N2C[C@@H](OC)OCC2)[C@H](O)[C@H](C)O1,rand_9
molecule_17,COc1c2c(ccc1)C(=O)c1c(O)c3c(c(O)c1C2=O)[C@@H](O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](N2CCO[C@H](OC)C2)C1)C[C@@](C(CO)=O)(O)C3,rand_10
molecule_18,n1(Cc2ccc(CN)cc2)c(CCCC)nc2c(N)nc3c(cccc3)c12,rand_1
molecule_18,c1c(CN)ccc(Cn2c3c(nc2CCCC)c(N)nc2ccccc32)c1,rand_2
molecule_18,C(n1c2c3ccccc3nc(N)c2nc1CCCC)c1ccc(CN)cc1,rand_3
molecule_18,NCc1ccc(Cn2c3c(c(N)nc4ccccc34)nc2CCCC)cc1,rand_4
molecule_18,C(N)c1ccc(Cn2c(CCCC)nc3c(N)nc4ccccc4c23)cc1,rand_5
molecule_18,c12nc(CCCC)n(Cc3ccc(CN)cc3)c1c1ccccc1nc2N,rand_6
molecule_18,C(CC)Cc1nc2c(n1Cc1ccc(CN)cc1)c1c(nc2N)cccc1,rand_7
molecule_18,c1(CN)ccc(Cn2c(CCCC)nc3c(N)nc4c(cccc4)c32)cc1,rand_8
molecule_18,n1c(CCCC)n(Cc2ccc(CN)cc2)c2c3c(nc(N)c12)cccc3,rand_9
molecule_18,c1(N)c2nc(CCCC)n(Cc3ccc(CN)cc3)c2c2ccccc2n1,rand_10
molecule_19,c12ncn(C3OC4C(CCN)C3OP(O)(=O)OCC3OC(n5cnc6c(N)ncnc56)C(O)C3O[PH](=O)(=O)OC4)c1nc(N)[nH]c2=O,rand_1
molecule_19,n1c2c(=O)[nH]c(N)nc2n(C2C3C(CCN)C(CO[PH](=O)(=O)OC4C(COP(=O)(O)O3)OC(n3c5ncnc(N)c5nc3)C4O)O2)c1,rand_2
molecule_19,n1(C2C(O)C3C(COP(=O)(O)OC4C(n5c6nc(N)[nH]c(=O)c6nc5)OC(CO[PH](=O)(=O)O3)C4CCN)O2)c2c(nc1)c(N)ncn2,rand_3
molecule_19,O1C2C(CCN)C(C1n1cnc3c(=O)[nH]c(N)nc31)OP(=O)(O)OCC1C(C(O)C(n3c4c(nc3)c(N)ncn4)O1)O[PH](=O)(=O)OC2,rand_4
molecule_19,c1(N)nc2n(C3C4C(CCN)C(CO[PH](=O)(=O)OC5C(O)C(n6c7ncnc(N)c7nc6)OC5COP(O)(=O)O4)O3)cnc2c(=O)[nH]1,rand_5
molecule_19,OC1C(n2cnc3c(N)ncnc32)OC2COP(O)(=O)OC3C(CCN)C(OC3n3cnc4c3nc(N)[nH]c4=O)CO[PH](=O)(=O)OC12,rand_6
molecule_19,C1C2OC(n3cnc4c3ncnc4N)C(O)C2O[PH](=O)(=O)OCC2OC(n3cnc4c3nc(N)[nH]c4=O)C(OP(O)(=O)O1)C2CCN,rand_7
molecule_19,c12ncnc(N)c1ncn2C1C(O)C2C(O1)COP(O)(=O)OC1C(n3cnc4c(=O)[nH]c(N)nc43)OC(CO[PH](=O)(=O)O2)C1CCN,rand_8
molecule_19,C1(n2c3nc(N)[nH]c(=O)c3nc2)OC2CO[PH](=O)(=O)OC3C(COP(O)(=O)OC1C2CCN)OC(n1c2c(nc1)c(N)ncn2)C3O,rand_9
molecule_19,n1(C2C(O)C3O[PH](=O)(=O)OCC4C(CCN)C(C(n5c6nc(N)[nH]c(=O)c6nc5)O4)OP(O)(=O)OCC3O2)c2c(c(N)ncn2)nc1,rand_10
molecule_20,C1(=O)N2C=C(c3ccc(N)cc3)CC2C=Nc2cc(OCCCOc3cc4c(cc3OC)C(=O)N3C(C=N4)CC(c4ccc(OC)cc4)=C3)c(OC)cc21,rand_1
molecule_20,N12C(=O)c3c(cc(OCCCOc4c(OC)cc5c(c4)N=CC4CC(c6ccc(OC)cc6)=CN4C5=O)c(OC)c3)N=CC1CC(c1ccc(N)cc1)=C2,rand_2
molecule_20,c1c(OC)c(OCCCOc2c(OC)cc3c(c2)N=CC2N(C=C(c4ccc(N)cc4)C2)C3=O)cc2c1C(=O)N1C=C(c3ccc(OC)cc3)CC1C=N2,rand_3
molecule_20,c1cc(OC)ccc1C1=CN2C(C1)C=Nc1c(cc(OC)c(OCCCOc3c(OC)cc4c(c3)N=CC3CC(c5ccc(N)cc5)=CN3C4=O)c1)C2=O,rand_4
molecule_20,O(CCCOc1cc2c(cc1OC)C(=O)N1C=C(c3ccc(N)cc3)CC1C=N2)c1cc2c(cc1OC)C(=O)N1C(CC(c3ccc(OC)cc3)=C1)C=N2,rand_5
molecule_20,c1cc(C2=CN3C(C2)C=Nc2cc(OCCCOc4cc5c(cc4OC)C(=O)N4C(C=N5)CC(c5ccc(N)cc5)=C4)c(OC)cc2C3=O)ccc1OC,rand_6
molecule_20,c1(OCCCOc2c(OC)cc3c(c2)N=CC2CC(c4ccc(OC)cc4)=CN2C3=O)c(OC)cc2c(c1)N=CC1N(C2=O)C=C(c2ccc(N)cc2)C1,rand_7
molecule_20,c1cc(N)ccc1C1=CN2C(=O)c3c(cc(OCCCOc4cc5c(cc4OC)C(=O)N4C(CC(c6ccc(OC)cc6)=C4)C=N5)c(OC)c3)N=CC2C1,rand_8
molecule_20,C1=C(c2ccc(OC)cc2)CC2C=Nc3c(cc(OC)c(OCCCOc4cc5c(cc4OC)C(=O)N4C(CC(c6ccc(N)cc6)=C4)C=N5)c3)C(=O)N12,rand_9
molecule_20,C(Oc1cc2c(cc1OC)C(=O)N1C(CC(c3ccc(N)cc3)=C1)C=N2)CCOc1c(OC)cc2c(c1)N=CC1CC(c3ccc(OC)cc3)=CN1C2=O,rand_10
molecule_21,[C@H]1(O)[C@@H](N)C[C@H](O[C@@H]2c3c(O)c4c(c(O)c3C[C@@](O)(C(CO)=O)C2)C(=O)c2cccc(OC)c2C4=O)O[C@H]1C,rand_1
molecule_21,C1(=O)c2c(O)c3c(c(O)c2C(=O)c2c(OC)cccc21)[C@@H](O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1)C[C@](O)(C(=O)CO)C3,rand_2
molecule_21,O=C(CO)[C@@]1(O)C[C@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)c2c(O)c3c(c(O)c2C1)C(=O)c1c(c(OC)ccc1)C3=O,rand_3
molecule_21,C1[C@H](N)[C@H](O)[C@H](C)O[C@H]1O[C@@H]1c2c(c(O)c3c(c2O)C(=O)c2c(OC)cccc2C3=O)C[C@](C(=O)CO)(O)C1,rand_4
molecule_21,N[C@H]1C[C@H](O[C@@H]2c3c(c(O)c4c(c3O)C(=O)c3c(OC)cccc3C4=O)C[C@](C(CO)=O)(O)C2)O[C@@H](C)[C@H]1O,rand_5
molecule_21,Oc1c2c(c(O)c3c1C(=O)c1c(c(OC)ccc1)C3=O)[C@@H](O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](N)C1)C[C@](O)(C(=O)CO)C2,rand_6
molecule_21,c12c(c(OC)ccc1)C(=O)c1c(c(O)c3c(c1O)[C@@H](O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](N)C1)C[C@](O)(C(=O)CO)C3)C2=O,rand_7
molecule_21,C1(=O)c2c(OC)cccc2C(=O)c2c1c(O)c1c(c2O)C[C@@](O)(C(CO)=O)C[C@@H]1O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,rand_8
molecule_21,C1(=O)c2c(O)c3c(c(O)c2C(=O)c2c1cccc2OC)[C@@H](O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1)C[C@@](C(CO)=O)(O)C3,rand_9
molecule_21,O=C(CO)[C@]1(O)Cc2c(c(O)c3c(c2O)C(=O)c2c(c(OC)ccc2)C3=O)[C@@H](O[C@@H]2O[C@@H](C)[C@@H](O)[C@@H](N)C2)C1,rand_10
molecule_22,C1=CC2(C)C(=CC1=O)C(F)CC1C2(F)C(O)CC2C3(C(=O)CO)OC(c4ccc(Sc5ccc(N)cc5)cc4)OC3CC12,rand_1
molecule_22,c1c(N)ccc(Sc2ccc(C3OC4(C(CO)=O)C(CC5C4CC(O)C4(F)C6(C)C=CC(=O)C=C6C(F)CC54)O3)cc2)c1,rand_2
molecule_22,c1c(C2OC3(C(=O)CO)C(O2)CC2C4C(F)(C(O)CC23)C2(C)C=CC(=O)C=C2C(F)C4)ccc(Sc2ccc(N)cc2)c1,rand_3
molecule_22,O1C(c2ccc(Sc3ccc(N)cc3)cc2)OC2CC3C4C(F)(C(O)CC3C12C(CO)=O)C1(C)C(=CC(=O)C=C1)C(F)C4,rand_4
molecule_22,c1c(Sc2ccc(C3OC4(C(=O)CO)C5C(C6C(F)(C7(C)C=CC(=O)C=C7C(F)C6)C(O)C5)CC4O3)cc2)ccc(N)c1,rand_5
molecule_22,C12(F)C(O)CC3C4(C(=O)CO)OC(c5ccc(Sc6ccc(N)cc6)cc5)OC4CC3C1CC(F)C1=CC(=O)C=CC21C,rand_6
molecule_22,c1(Sc2ccc(N)cc2)ccc(C2OC3CC4C(C3(C(CO)=O)O2)CC(O)C2(F)C3(C)C=CC(=O)C=C3C(F)CC42)cc1,rand_7
molecule_22,C1C(O)C2(F)C(C3C1C1(C(CO)=O)C(OC(c4ccc(Sc5ccc(N)cc5)cc4)O1)C3)CC(F)C1=CC(=O)C=CC21C,rand_8
molecule_22,Nc1ccc(Sc2ccc(C3OC4CC5C6CC(F)C7=CC(=O)C=CC7(C)C6(F)C(O)CC5C4(C(=O)CO)O3)cc2)cc1,rand_9
molecule_22,O1C2(C(CO)=O)C(CC3C2CC(O)C2(F)C4(C)C(=CC(=O)C=C4)C(F)CC32)OC1c1ccc(Sc2ccc(N)cc2)cc1,rand_10
molecule_23,C1=CC2(C)C(=CC1=O)CCC1C2(F)C(O)CC2C3(C(=O)CO)OC(c4ccc(Cc5cccc(N)c5)cc4)OC3CC12,rand_1
molecule_23,c1c(N)cccc1Cc1ccc(C2OC3CC4C5CCC6=CC(=O)C=CC6(C)C5(F)C(O)CC4C3(C(=O)CO)O2)cc1,rand_2
molecule_23,O1C2(C(CO)=O)C(OC1c1ccc(Cc3cc(N)ccc3)cc1)CC1C2CC(O)C2(F)C3(C)C=CC(=O)C=C3CCC21,rand_3
molecule_23,C12(C(CO)=O)C(CC3C4C(F)(C(O)CC13)C1(C)C(=CC(=O)C=C1)CC4)OC(c1ccc(Cc3cc(N)ccc3)cc1)O2,rand_4
molecule_23,c1cc(C2OC3(C(CO)=O)C4CC(O)C5(F)C(C4CC3O2)CCC2=CC(=O)C=CC52C)ccc1Cc1cccc(N)c1,rand_5
molecule_23,C1=C2CCC3C(F)(C(O)CC4C5(C(=O)CO)OC(c6ccc(Cc7cccc(N)c7)cc6)OC5CC43)C2(C)C=CC1=O,rand_6
molecule_23,c1cc(C2OC3(C(CO)=O)C4C(CC3O2)C2CCC3=CC(=O)C=CC3(C)C2(F)C(O)C4)ccc1Cc1cccc(N)c1,rand_7
molecule_23,C1C(O)C2(F)C3(C)C(=CC(=O)C=C3)CCC2C2CC3C(C(CO)=O)(OC(c4ccc(Cc5cccc(N)c5)cc4)O3)C12,rand_8
molecule_23,Nc1cccc(Cc2ccc(C3OC4CC5C(CC(O)C6(F)C5CCC5=CC(=O)C=CC56C)C4(C(CO)=O)O3)cc2)c1,rand_9
molecule_23,O1C2(C(CO)=O)C(CC3C4C(F)(C5(C)C(=CC(=O)C=C5)CC4)C(O)CC23)OC1c1ccc(Cc2cc(N)ccc2)cc1,rand_10
molecule_24,C(O)C(=O)[C@]1(O)Cc2c(c(O)c3c(c2O)C(=O)c2cccc(OC)c2C3=O)[C@@H](O[C@H]2C[C@H]3[C@@H]([C@H](C)O2)O[C@@H]2[C@@H](OC)OCCN23)C1,rand_1
molecule_24,C1(=O)c2c(OC)cccc2C(=O)c2c(O)c3c(c(O)c21)[C@@H](O[C@H]1C[C@H]2[C@H](O[C@@H]4[C@@H](OC)OCCN42)[C@H](C)O1)C[C@](O)(C(=O)CO)C3,rand_2
molecule_24,O1[C@@H]2[C@H](C)O[C@@H](O[C@H]3C[C@](O)(C(=O)CO)Cc4c3c(O)c3c(c4O)C(=O)c4cccc(OC)c4C3=O)C[C@@H]2N2CCO[C@H](OC)[C@@H]12,rand_3
molecule_24,C([C@]1(O)Cc2c(c(O)c3c(c2O)C(=O)c2c(c(OC)ccc2)C3=O)[C@@H](O[C@H]2C[C@@H]3N4CCO[C@H](OC)[C@H]4O[C@@H]3[C@H](C)O2)C1)(=O)CO,rand_4
molecule_24,c1c2c(c(OC)cc1)C(=O)c1c(c(O)c3c(c1O)[C@@H](O[C@@H]1O[C@@H](C)[C@@H]4[C@H](C1)N1[C@@H]([C@@H](OC)OCC1)O4)C[C@@](C(=O)CO)(O)C3)C2=O,rand_5
molecule_24,CO[C@H]1OCCN2[C@@H]3[C@H](O[C@@H]21)[C@H](C)O[C@@H](O[C@@H]1c2c(O)c4c(c(O)c2C[C@@](O)(C(CO)=O)C1)C(=O)c1cccc(OC)c1C4=O)C3,rand_6
molecule_24,c12c(c(O)c3c(c1O)C(=O)c1c(cccc1OC)C3=O)C[C@](C(CO)=O)(O)C[C@@H]2O[C@@H]1O[C@@H](C)[C@H]2O[C@H]3N(CCO[C@@H]3OC)[C@H]2C1,rand_7
molecule_24,O1CCN2[C@H](O[C@@H]3[C@H](C)O[C@@H](O[C@H]4C[C@@](C(=O)CO)(O)Cc5c(O)c6c(c(O)c54)C(=O)c4c(OC)cccc4C6=O)C[C@H]23)[C@H]1OC,rand_8
molecule_24,O=C1c2c(c(OC)ccc2)C(=O)c2c(O)c3c(c(O)c21)C[C@@](O)(C(CO)=O)C[C@@H]3O[C@H]1C[C@H]2[C@H](O[C@@H]3[C@@H](OC)OCCN23)[C@H](C)O1,rand_9
molecule_24,COc1c2c(ccc1)C(=O)c1c(O)c3c(c(O)c1C2=O)[C@@H](O[C@@H]1O[C@@H](C)[C@@H]2[C@H](C1)N1CCO[C@H](OC)[C@H]1O2)C[C@@](C(CO)=O)(O)C3,rand_10
molecule_25,[C@@H]1(OC)[C@@H](O)[C@H](C)O[C@@H](Oc2c(OC)c(OC)c(C(=O)S[C@H]3[C@@H](O)C[C@H](ON[C@@H]4[C@@H](C)O[C@@H](O[C@H]5C#C/C=C\C#C[C@]6(O)CC(=O)C(NC(OC)=O)=C5C6=CCSSSC)[C@H](O[C@@H]5OC[C@H](N(C(C)=O)CC)[C@@H](OC)C5)[C@H]4O)O[C@@H]3C)c(C)c2I)[C@@H]1O,rand_1
molecule_25,O(C)c1c(O[C@H]2[C@H](O)[C@H](OC)[C@@H](O)[C@H](C)O2)c(I)c(C)c(C(=O)S[C@H]2[C@@H](O)C[C@H](ON[C@@H]3[C@@H](C)O[C@@H](O[C@H]4C#C/C=C\C#C[C@]5(O)CC(=O)C(NC(OC)=O)=C4C5=CCSSSC)[C@H](O[C@H]4C[C@H](OC)[C@@H](N(CC)C(=O)C)CO4)[C@H]3O)O[C@@H]2C)c1OC,rand_2
molecule_25,C1#C[C@@]2(O)C(=CCSSSC)C(=C(NC(OC)=O)C(=O)C2)[C@@H](O[C@H]2[C@H](O[C@@H]3OC[C@H](N(CC)C(C)=O)[C@@H](OC)C3)[C@@H](O)[C@H](NO[C@H]3C[C@H](O)[C@H](SC(c4c(OC)c(OC)c(O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](OC)[C@H]5O)c(I)c4C)=O)[C@@H](C)O3)[C@@H](C)O2)C#C/C=C\1,rand_3
molecule_25,C1(=CCSSSC)C2=C(NC(OC)=O)C(=O)C[C@@]1(O)C#C/C=C\C#C[C@@H]2O[C@@H]1O[C@H](C)[C@@H](NO[C@H]2C[C@H](O)[C@H](SC(=O)c3c(C)c(I)c(O[C@H]4[C@H](O)[C@H](OC)[C@@H](O)[C@H](C)O4)c(OC)c3OC)[C@@H](C)O2)[C@H](O)[C@H]1O[C@H]1C[C@H](OC)[C@@H](N(C(=O)C)CC)CO1,rand_4
molecule_25,O(C)[C@@H]1[C@@H](O)[C@H](C)O[C@@H](Oc2c(I)c(C)c(C(S[C@@H]3[C@@H](C)O[C@@H](ON[C@@H]4[C@@H](C)O[C@@H](O[C@@H]5C6=C(NC(=O)OC)C(=O)C[C@@](O)(C#C/C=C\C#C5)C6=CCSSSC)[C@H](O[C@H]5C[C@H](OC)[C@@H](N(C(C)=O)CC)CO5)[C@H]4O)C[C@@H]3O)=O)c(OC)c2OC)[C@@H]1O,rand_5
